                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.4059,                 3.4252,                 1.8227,                0.43238,                0.37952,                0.31942,                0.21695,                 1.2117,                 3.2045,                 1.7902,             7.0148e-05,             7.0148e-05,             7.0148e-05
                     59,                 1.3561,                 3.3743,                 1.7667,                 0.4579,                0.33886,                 0.3107,                0.21639,                 1.2203,                 3.1809,                 1.7826,             6.8554e-05,             6.8554e-05,             6.8554e-05
                     60,                 1.3961,                 3.4379,                 1.7434,                0.48933,                0.30158,                0.31205,                0.21544,                 1.2308,                 3.2133,                  1.799,              6.696e-05,              6.696e-05,              6.696e-05
                     61,                 1.3496,                 3.4482,                  1.785,                0.39978,                0.35558,                0.30964,                0.19727,                 1.3111,                 3.2474,                 1.8407,             6.5366e-05,             6.5366e-05,             6.5366e-05
                     62,                 1.4192,                 3.4685,                 1.8068,                0.36992,                0.38024,                0.32855,                0.22942,                 1.2223,                  3.154,                 1.7743,             6.3772e-05,             6.3772e-05,             6.3772e-05
                     63,                 1.3103,                 3.2873,                 1.7703,                0.40812,                0.33238,                0.30463,                0.21274,                 1.2443,                 3.1702,                 1.7925,             6.2178e-05,             6.2178e-05,             6.2178e-05
                     64,                 1.4062,                  3.395,                 1.7532,                0.44141,                0.31632,                0.31256,                0.21754,                 1.2158,                  3.186,                 1.7889,             6.0584e-05,             6.0584e-05,             6.0584e-05
                     65,                 1.3481,                 3.3053,                 1.7393,                0.56556,                0.25439,                0.30818,                0.21433,                 1.2242,                 3.2287,                 1.8089,              5.899e-05,              5.899e-05,              5.899e-05
                     66,                 1.4066,                 3.4002,                 1.7729,                0.37609,                0.35282,                0.33168,                0.23434,                 1.1941,                 3.1025,                 1.7621,             5.7396e-05,             5.7396e-05,             5.7396e-05
                     67,                 1.4128,                 3.3278,                 1.7253,                0.43011,                0.33742,                0.31509,                0.22407,                 1.2102,                 3.1084,                 1.7636,             5.5803e-05,             5.5803e-05,             5.5803e-05
                     68,                 1.4089,                 3.3879,                 1.7371,                0.47597,                0.30998,                0.32795,                 0.2295,                 1.2445,                 3.2281,                 1.7714,             5.4209e-05,             5.4209e-05,             5.4209e-05
                     69,                  1.316,                 3.2797,                 1.7699,                0.49542,                0.36908,                0.36895,                0.24967,                 1.2234,                 3.1299,                 1.7469,             5.2615e-05,             5.2615e-05,             5.2615e-05
                     70,                 1.2787,                 3.2275,                 1.7344,                0.48163,                  0.355,                0.34556,                0.24875,                 1.1676,                 3.0504,                 1.7144,             5.1021e-05,             5.1021e-05,             5.1021e-05
                     71,                 1.2933,                 3.2119,                 1.7287,                0.43462,                0.34763,                0.34109,                0.24775,                 1.1504,                 3.0766,                 1.7121,             4.9427e-05,             4.9427e-05,             4.9427e-05
                     72,                 1.2639,                 3.3565,                  1.665,                0.39878,                0.35041,                0.32081,                0.22862,                 1.1565,                  3.105,                 1.7294,             4.7833e-05,             4.7833e-05,             4.7833e-05
                     73,                 1.2654,                 3.3041,                 1.6644,                0.39433,                0.37348,                0.33415,                0.23967,                 1.1476,                 3.0352,                 1.7071,             4.6239e-05,             4.6239e-05,             4.6239e-05
                     74,                 1.2701,                 3.2704,                 1.6549,                0.44617,                0.38815,                0.33684,                0.24549,                 1.1402,                 3.0111,                 1.6879,             4.4645e-05,             4.4645e-05,             4.4645e-05
                     75,                 1.3029,                 3.2453,                 1.7124,                0.43103,                0.41176,                0.34965,                0.25089,                   1.16,                 3.0487,                 1.6842,             4.3051e-05,             4.3051e-05,             4.3051e-05
                     76,                 1.3068,                 3.1735,                 1.6617,                 0.5001,                0.35487,                0.33067,                0.24369,                 1.1362,                 3.0782,                 1.6852,             4.1458e-05,             4.1458e-05,             4.1458e-05
                     77,                 1.3178,                 3.1593,                 1.6705,                0.56658,                0.29982,                0.31216,                0.22825,                 1.1483,                 3.0798,                 1.6853,             3.9864e-05,             3.9864e-05,             3.9864e-05
                     78,                 1.3213,                 3.2529,                 1.7171,                0.42863,                0.37734,                0.33619,                0.23845,                 1.1756,                 3.0099,                 1.6857,              3.827e-05,              3.827e-05,              3.827e-05
                     79,                 1.3567,                 3.2528,                 1.7008,                0.42726,                0.42724,                0.35443,                0.24516,                 1.1889,                 2.9729,                 1.6977,             3.6676e-05,             3.6676e-05,             3.6676e-05
                     80,                 1.2679,                 3.1346,                 1.6317,                0.34015,                0.39922,                 0.3552,                 0.2557,                  1.152,                 2.9694,                 1.6895,             3.5082e-05,             3.5082e-05,             3.5082e-05
                     81,                 1.3523,                 3.1995,                 1.6646,                0.32828,                0.40147,                0.35272,                0.25742,                 1.1262,                  2.947,                 1.6696,             3.3488e-05,             3.3488e-05,             3.3488e-05
                     82,                 1.2764,                 3.1393,                 1.6874,                0.38535,                0.41296,                0.36309,                0.26598,                 1.1036,                 2.9064,                 1.6553,             3.1894e-05,             3.1894e-05,             3.1894e-05
                     83,                 1.2629,                 3.2146,                  1.676,                 0.4764,                0.39398,                0.36844,                0.27031,                 1.1094,                 2.9244,                 1.6527,               3.03e-05,               3.03e-05,               3.03e-05
